Table S15: Neutral singlet molecules, revTPSSh/aug-pcseg-2: fraction f of electron density covered.

  Molecule           GWH         CORE        SAD     SADNO        HUCKEL           GSZ      LDA-X             CAP-X      CHA-X
Mn(C5H5)(CO)3     0.338   0.458   0.890   0.967        0.959     0.784    0.934     0.942     0.945
 MnCp(CO)3        0.331   0.458   0.890   0.967        0.960     0.785    0.931     0.939     0.942
 cyclopropene     0.311   0.563   0.867    0.957       0.962     0.935    0.966     0.964     0.967
 cyclobutane      0.270   0.538   0.874    0.959      0.967      0.899    0.949     0.947     0.954
   oxetane        0.305   0.596   0.879    0.956       0.964     0.923    0.964     0.963     0.967
Fe(C2H4)(CO)4     0.326   0.464   0.890    0.964       0.958     0.844    0.963     0.967     0.967
    ch3nh2        0.323   0.584   0.870    0.952       0.961     0.922    0.966     0.965     0.968
    PR05          0.309   0.444   0.890    0.960       0.961     0.876    0.964    0.968      0.967
  n-pentane       0.265   0.559   0.877    0.960      0.968      0.848    0.951     0.951     0.954
    ethanol       0.375   0.600   0.882    0.957       0.964     0.920    0.966     0.965     0.968
     c2h4         0.382   0.527   0.864    0.958       0.964     0.933    0.968     0.966     0.969
    FeCp2         0.347   0.461   0.890   0.969        0.956     0.887    0.952     0.953     0.957
  t-butadiene     0.333   0.568   0.872    0.964      0.969      0.922    0.962     0.962     0.965
cyclopentadiene   0.348   0.588   0.877    0.963      0.969      0.927    0.960     0.959     0.963
cyclobutadiene    0.312   0.591   0.865    0.963       0.969     0.942    0.967     0.966     0.969
    borole        0.316   0.579   0.865    0.965      0.969      0.887    0.965     0.964     0.967
    PR14          0.258   0.458   0.894    0.965      0.969      0.783    0.946     0.952     0.921
  VCp(CO)4        0.280   0.435   0.890    0.960      0.970      0.775    0.926     0.939     0.936
    ED15          0.395   0.512   0.887    0.957       0.957     0.926    0.968     0.968     0.970
   propyne      0.418   0.571   0.869    0.958       0.961     0.926    0.968     0.967     0.970
 Mn(NO)3CO      0.472   0.496   0.891    0.966       0.961     0.920    0.967    0.970      0.969
 Ni(C3H5)2      0.389   0.511   0.886    0.956       0.957     0.927    0.969     0.969     0.970
    PMe3        0.401   0.521   0.897    0.964      0.970      0.892    0.966     0.965     0.967
    allene      0.454   0.564   0.869    0.957       0.961     0.944    0.970     0.969     0.971
Fe(C5Me5)(P5)   0.343   0.560   0.914   0.971        0.965     0.815    0.894     0.897     0.893
Fe(CO)2(NO)2    0.460   0.490   0.890    0.969       0.960     0.933    0.970    0.972      0.970
 beta-lactim    0.333   0.618   0.883    0.959       0.966     0.925    0.968     0.967     0.972
    silole      0.362   0.565   0.896    0.967      0.972      0.869    0.938     0.936     0.942
    ED28        0.277   0.520   0.900    0.967      0.972      0.876    0.961     0.962     0.961
    ED27        0.281   0.516   0.902    0.967      0.972      0.898    0.965     0.966     0.966
   pyrrole      0.323   0.609   0.882    0.968      0.973      0.938    0.966     0.965     0.969
    PR40        0.384   0.543   0.908    0.968      0.973      0.883    0.957     0.960     0.966
    ED05        0.328   0.466   0.890    0.961       0.960     0.892    0.970     0.972     0.973
 Cr(C6H6)2      0.304   0.444   0.890   0.973        0.962     0.870    0.957     0.960     0.962
    c2h5f       0.358   0.620   0.898    0.961       0.968     0.910    0.971     0.970     0.973
  Sc(acac)3     0.253   0.501   0.896    0.966       0.972     0.821    0.970    0.973      0.959
   benzene      0.398   0.607   0.880    0.969      0.973      0.937    0.965     0.965     0.968
 Mn(CO)4NO      0.374   0.468   0.890    0.961       0.960     0.915    0.971    0.973      0.973
    furan       0.380   0.621   0.885    0.966       0.971     0.948    0.972     0.971     0.974
   oxirane      0.387   0.616   0.878    0.953       0.961     0.937    0.972     0.971     0.974
   ED40a        0.382   0.493   0.878    0.954       0.950     0.938   0.974      0.972     0.971
    ch2c        0.431   0.622   0.831    0.950       0.954     0.928    0.974     0.972     0.974
  Ni(acac)2     0.325   0.473   0.891    0.953       0.959     0.908   0.975      0.959     0.971
    PCy3        0.223   0.461   0.890    0.969      0.975      0.727    0.948     0.950     0.942
    PR15        0.385   0.466   0.888    0.956       0.958     0.910    0.975     0.975     0.975
 acetaldehyde   0.384   0.602   0.881    0.954       0.963     0.915    0.973     0.972     0.975
 dithiotane   0.524   0.557   0.923    0.970      0.975      0.914    0.967     0.965     0.970
  ch3ph2      0.506   0.508   0.909    0.964       0.970     0.915    0.973     0.972     0.976
    nh3       0.360   0.629   0.866    0.952       0.962     0.935   0.976      0.975     0.975
 methanol     0.369   0.612   0.881    0.954       0.961     0.937    0.975     0.974     0.976
   ED30       0.246   0.527   0.895    0.972      0.976      0.773    0.964     0.967     0.955
   ED31       0.238   0.485   0.893    0.973      0.976      0.773    0.955     0.953     0.933
   CuCN       0.626   0.652   0.861    0.938       0.947     0.976    0.952     0.945     0.954
   PR12       0.274   0.438   0.888    0.960       0.961     0.823    0.973    0.976      0.975
 thiophene    0.432   0.587   0.906    0.972      0.976      0.883    0.954     0.953     0.957
   c2clh5     0.514   0.541   0.922    0.971      0.976      0.835    0.962     0.960     0.967
   AcCl       0.507   0.578   0.924    0.971      0.976      0.855    0.948     0.946     0.954
   PhSH       0.423   0.588   0.902    0.973      0.976      0.854    0.908     0.908     0.911
   PR02       0.357   0.475   0.892    0.966       0.961     0.923    0.974    0.976      0.976
  Fe(CO)5     0.373   0.475   0.892    0.966       0.961     0.924    0.975    0.977      0.977
   n2h4       0.372   0.603   0.871    0.955       0.965     0.942    0.977     0.975     0.978
  ED40b       0.439   0.573   0.925    0.973      0.978      0.856    0.976     0.976     0.977
   c2clh3     0.531   0.544   0.925    0.975      0.978      0.862    0.946     0.943     0.951
Co(CO)3(NO)   0.449   0.497   0.892    0.969       0.961     0.949    0.977    0.978      0.977
   c2h2       0.465   0.586   0.861    0.965       0.965     0.960   0.978      0.977     0.978
 dioxetane    0.419   0.621   0.887    0.956       0.963     0.947    0.977     0.976     0.979
   ch2nh      0.396   0.600   0.863    0.958       0.963     0.950    0.978     0.977     0.979
   acetic     0.379   0.634   0.894    0.962       0.968     0.935    0.978     0.977     0.979
 CoH(CO)4     0.428   0.503   0.894    0.965       0.961     0.932    0.978    0.980      0.980
   c2clh      0.557   0.559   0.929   0.980        0.979     0.884    0.966     0.964     0.969
   CuMe       0.672   0.668   0.863    0.939       0.948     0.956    0.979     0.978     0.980
   cclh3      0.543   0.555   0.935    0.974       0.978     0.920    0.978     0.977     0.980
   c2h3f      0.386   0.633   0.899    0.967       0.971     0.942    0.979     0.978     0.980
  PhSeH         0.502   0.616   0.921    0.977      0.981      0.886    0.927     0.927     0.929
    bh3         0.405   0.656   0.807    0.937       0.942     0.941    0.981     0.980     0.981
 TiCl2Me2       0.548   0.591   0.930    0.975      0.981      0.830    0.927     0.933     0.950
 Zn(CH3)2       0.595   0.593   0.885    0.946       0.958     0.954   0.981      0.980     0.980
    clcn        0.599   0.559   0.929    0.980       0.980     0.941    0.980     0.978     0.981
    ocs         0.605   0.541   0.926    0.980      0.982      0.923    0.969     0.967     0.971
 formamide      0.406   0.631   0.890    0.964       0.970     0.939    0.981     0.980     0.982
   ketene       0.414   0.636   0.885    0.963       0.968     0.949    0.981     0.980     0.982
  oxirene       0.397   0.658   0.872    0.954       0.958     0.962    0.982     0.981     0.983
   ED02         0.431   0.495   0.886    0.950       0.954     0.938    0.981    0.983      0.983
    clcof       0.536   0.585   0.944    0.983      0.983      0.927    0.977     0.976     0.981
    ch3f        0.377   0.640   0.904    0.962       0.966     0.948    0.982     0.982     0.983
 oxadiazole     0.401   0.636   0.881    0.967       0.972     0.954    0.982     0.981     0.983
    cs2         0.654   0.649   0.939    0.981      0.984      0.965    0.980     0.979     0.981
   ch2clf       0.539   0.552   0.942    0.978       0.980     0.907    0.981     0.980     0.984
   ccl2h2       0.605   0.616   0.953    0.982       0.984     0.939    0.982     0.980     0.984
 cis-c2f2cl2    0.550   0.569   0.952    0.984      0.984      0.907    0.969     0.968     0.974
trans-c2f2cl2   0.545   0.569   0.952    0.984      0.984      0.903    0.969     0.969     0.975
   PR01         0.272   0.447   0.889    0.957       0.963     0.903    0.982    0.984      0.984
   PR06         0.337   0.454   0.889    0.957       0.961     0.887    0.981     0.983     0.984
    clno        0.564   0.544   0.926    0.978       0.983     0.915    0.978     0.976     0.984
   c2cl2        0.592   0.606   0.950   0.985        0.984     0.938    0.971     0.970     0.974
   ccl2o        0.611   0.580   0.952    0.984      0.985      0.945    0.977     0.976     0.980
     cs         0.648   0.602   0.907    0.982       0.984     0.973   0.985      0.984     0.985
   nh2oh        0.364   0.632   0.879    0.958       0.966     0.956    0.985     0.984     0.985
 Cr(CO)6        0.273   0.446   0.889    0.957       0.963     0.906    0.983    0.985      0.985
dioxetan2one    0.421   0.635   0.899    0.965       0.969     0.924    0.983     0.982     0.985
      p4           0.712   0.717   0.933    0.977       0.983     0.976    0.985     0.983     0.986
     h2co          0.436   0.630   0.877    0.962       0.967     0.963    0.986     0.985     0.986
     ccl3h         0.632   0.650   0.961    0.985      0.986      0.953    0.983     0.982     0.986
      h2o          0.341   0.675   0.889    0.962       0.969     0.957   0.986      0.986     0.986
    glyoxal        0.420   0.676   0.885    0.904       0.971     0.960    0.985     0.984     0.987
     cf2cl2        0.551   0.583   0.959    0.985       0.985     0.937    0.983     0.982     0.987
     nh2cl         0.559   0.553   0.933    0.976       0.982     0.946    0.986     0.985     0.987
   dioxirane       0.417   0.660   0.880    0.956       0.965     0.958    0.986     0.985     0.987
     c2cl4         0.622   0.644   0.961    0.986      0.987      0.942    0.972     0.971     0.976
     t-hcoh        0.394   0.640   0.860    0.961       0.962     0.958    0.987     0.986     0.987
      hnc          0.466   0.631   0.852    0.970       0.970     0.957   0.987      0.986     0.987
    c-hcoh         0.403   0.638   0.860    0.961       0.968     0.851    0.987     0.986     0.987
      hccf         0.431   0.676   0.903    0.975       0.974     0.973    0.987     0.986     0.987
     c2cl6         0.627   0.684   0.964    0.986      0.987      0.934    0.969     0.968     0.976
   TiCl3Me         0.620   0.633   0.947    0.982      0.987      0.816    0.959     0.963     0.973
formic-anhydride   0.409   0.637   0.897    0.969       0.971     0.940    0.986     0.985     0.987
   Ni(PH3)2        0.608   0.661   0.904    0.948       0.951     0.968    0.987    0.987      0.987
      ccl4         0.646   0.673   0.966    0.986      0.987      0.965    0.983     0.982     0.987
   Ni(CO)4         0.469   0.512   0.893    0.964       0.964     0.966    0.987    0.987      0.987
     PR03          0.469   0.512   0.893    0.964       0.964     0.966    0.987    0.987      0.987
    t-n2h2         0.385   0.562   0.859    0.962       0.960     0.966    0.987     0.986     0.988
    c-n2h2         0.394   0.560   0.860    0.963       0.969     0.968    0.987     0.987     0.988
      sio          0.618   0.701   0.896    0.982      0.988      0.963    0.984     0.983     0.984
     formic        0.411   0.686   0.897    0.969       0.971     0.963    0.988     0.987     0.988
     honc          0.450   0.673   0.873    0.967       0.968     0.882    0.988     0.986     0.988
      s2o          0.644   0.614   0.937    0.978       0.981     0.961    0.987     0.987     0.988
     hnnn          0.459   0.620   0.876    0.965       0.968     0.952    0.988     0.987     0.989
   hcn       0.465   0.632   0.859    0.969       0.969     0.972   0.989      0.988     0.989
   nccn      0.497   0.678   0.868    0.972       0.972     0.972    0.988     0.988     0.989
 ch2-sing    0.439   0.505   0.781    0.708       0.957     0.732   0.989      0.989     0.989
  ED01       0.361   0.462   0.886    0.950       0.959     0.925    0.988     0.989     0.989
   hnco      0.439   0.661   0.892    0.972       0.974     0.972    0.989     0.989     0.990
   hcno      0.450   0.664   0.888    0.966       0.970     0.973    0.989     0.988     0.990
 CrO2Cl2     0.628   0.617   0.928    0.971       0.988     0.888    0.980     0.981     0.990
   ccl2      0.637   0.647   0.948    0.984       0.988     0.977    0.988     0.988     0.990
   hocn      0.469   0.682   0.885    0.969       0.970     0.961    0.990     0.989     0.990
CrO2(NO3)2   0.447   0.491   0.898    0.962       0.976     0.906    0.989     0.990     0.990
  ED03       0.509   0.539   0.886    0.940       0.960     0.972    0.990    0.990      0.990
  ch2f2      0.405   0.679   0.924    0.972       0.973     0.968    0.990     0.989     0.990
   si2h6     0.645   0.594   0.927    0.967       0.971     0.970    0.989     0.989     0.991
   nh2f      0.389   0.660   0.900    0.965       0.972     0.964    0.991     0.990     0.991
 Cr(NO)4     0.451   0.492   0.890    0.967       0.968     0.920    0.988     0.991     0.991
   fccf      0.432   0.708   0.921    0.979       0.978     0.983    0.991     0.991     0.992
   hocl      0.564   0.551   0.939    0.978       0.985     0.963    0.991     0.990     0.992
   hooh      0.359   0.652   0.888    0.962       0.972     0.971    0.992     0.991     0.992
  VOCl3      0.654   0.643   0.945    0.980      0.992      0.894    0.966     0.970     0.978
  TiCl4      0.671   0.667   0.960    0.988      0.992      0.931    0.983     0.985     0.990
   sih4      0.630   0.576   0.919    0.959       0.963     0.970    0.991     0.991     0.992
   hcof      0.432   0.706   0.913    0.975       0.975     0.978    0.992     0.992     0.992
  hoclo      0.527   0.542   0.928    0.968       0.975     0.969    0.992     0.992     0.992
   c2f4      0.422   0.743   0.936    0.980       0.980     0.979    0.991     0.991     0.993
   c2f6      0.402   0.670   0.944    0.981       0.981     0.972    0.991     0.990     0.993
  t-hono     0.424   0.606   0.888    0.967       0.972     0.965    0.993     0.992     0.993
   hno       0.400   0.647   0.872    0.968       0.971     0.978    0.993     0.993     0.993
  ph3      0.633   0.587   0.925    0.967       0.971     0.971    0.993     0.993     0.993
  so2      0.567   0.536   0.923    0.971       0.975     0.978   0.994      0.993     0.993
   alf     0.647   0.777   0.908    0.982       0.988     0.976    0.993     0.993     0.994
 c-hono    0.413   0.605   0.889    0.969       0.974     0.971    0.994     0.993     0.994
  chf3     0.384   0.727   0.938    0.978       0.978     0.978    0.993     0.992     0.994
  n2o4     0.436   0.639   0.901    0.969       0.973     0.972    0.993     0.992     0.994
 hoclo2    0.511   0.574   0.925    0.965       0.970     0.971    0.994     0.994     0.994
  sih3f    0.548   0.665   0.931    0.969       0.973     0.980    0.993     0.993     0.994
   p2      0.709   0.702   0.927    0.988       0.991     0.989    0.994     0.994     0.994
  bhf2     0.383   0.714   0.926    0.981       0.979     0.983    0.994     0.994     0.994
  n2o      0.463   0.674   0.890    0.971       0.974     0.976    0.994     0.994     0.995
  co2      0.477   0.722   0.904    0.978       0.978     0.984   0.995      0.994     0.995
   co      0.481   0.665   0.860    0.975       0.979     0.978   0.995      0.994     0.994
 hclo4     0.504   0.592   0.926    0.965       0.971     0.975    0.994     0.994     0.995
  f2co     0.430   0.707   0.932    0.981       0.980     0.985    0.995     0.994     0.995
  cf4      0.411   0.664   0.948    0.983       0.982     0.984    0.995     0.994     0.996
Ni(PF3)4   0.512   0.487   0.946    0.979       0.981     0.976    0.995    0.996      0.993
  hof      0.410   0.685   0.909    0.969       0.980     0.977    0.996     0.996     0.996
  h2s      0.626   0.603   0.943    0.978       0.979     0.979   0.996      0.996     0.996
  alcl3    0.663   0.706   0.971    0.994       0.992     0.991    0.996     0.996     0.996
   n2      0.448   0.606   0.858    0.974       0.978     0.986   0.996      0.996     0.996
  bf3      0.382   0.751   0.942    0.988       0.985     0.988    0.996     0.996     0.996
  so3      0.539   0.552   0.929    0.974       0.978     0.987   0.996      0.996     0.996
   hf      0.392   0.723   0.935    0.982       0.982     0.983   0.996      0.996     0.996
  alcl     0.685   0.713   0.937    0.988       0.990     0.986    0.996     0.996     0.997
  pf3      0.504   0.587   0.945    0.980       0.985     0.982    0.996     0.996     0.997
   sf6     0.464   0.636   0.956    0.983       0.985     0.986    0.996     0.996     0.997
        bf           0.487      0.699       0.869       0.975         0.980        0.984       0.997               0.996     0.997
       alh3          0.658      0.628       0.899       0.969         0.969        0.983           0.996           0.996     0.997
        pf5          0.472      0.609       0.956       0.985         0.986        0.989           0.997           0.997     0.997
        cf2          0.451      0.718       0.916       0.978         0.982        0.988           0.997           0.997     0.997
        clf          0.566      0.552       0.954       0.982         0.991        0.986           0.997           0.997     0.997
       CrF6          0.500      0.536       0.925       0.972         0.988        0.983       0.997               0.997     0.994
        alf3         0.467      0.689       0.944       0.991         0.987        0.988       0.997               0.997     0.997
        fno          0.434      0.667       0.904       0.974         0.979        0.988           0.998           0.997     0.998
        sif4         0.472      0.582       0.953       0.987         0.987        0.990           0.998           0.997     0.998
       ScF3          0.544      0.479       0.938       0.990         0.987        0.991       0.998               0.997     0.997
      MnO3F          0.554      0.524       0.894       0.955         0.978        0.952           0.996           0.997     0.998
      VOF3           0.523      0.541       0.920       0.976         0.987        0.968           0.997           0.998     0.998
        bh           0.557      0.521       0.698       0.641         0.959        0.979       0.998               0.997     0.998
     CrO2F2          0.542      0.531       0.906       0.966         0.980        0.987           0.998       0.998         0.996
        alh          0.744      0.681       0.870       0.973         0.982        0.972       0.998               0.998     0.998
       VF5           0.504      0.542       0.931       0.980         0.987        0.963           0.998           0.998     0.998
       TiF4          0.509      0.531       0.934       0.985         0.987        0.984       0.998               0.998     0.998
        cl2          0.648      0.682       0.968       0.988         0.993        0.993           0.998           0.998     0.998
        hcl          0.610      0.709       0.968       0.989         0.989        0.988       0.999               0.999     0.999
        f2           0.426      0.702       0.931       0.974         0.989        0.994           0.999           0.999     1.000
        h2           0.000      0.971       0.824       0.907         0.907        0.971       1.000               0.999     0.999
       Best             0           0           0           14            47           1            26              20           114

