Table S1: Neutral singlet molecules, HF/STO-3G: fraction f of electron density covered.

    Molecule        GWH      CORE      SAD     SADNO       HUCKEL        GSZ     LDA-X     CAP-X      CHA-X
    PR05        0.677   0.705      0.874    0.954       0.890      0.899      0.968    0.972      0.972
Co(CO)3(NO)     0.713   0.746      0.879    0.960       0.912      0.944      0.972    0.972      0.970
Fe(C2H4)(CO)4   0.701   0.700      0.875    0.964       0.865      0.864      0.970     0.973     0.974
    ED04        0.702   0.712      0.873    0.974       0.713      0.886      0.962     0.960     0.959
 Mn(CO)5CN      0.673   0.716      0.872    0.956       0.883      0.905      0.972    0.975      0.974
    ED05        0.674   0.716      0.874    0.956       0.893      0.900      0.973     0.975     0.976
    ED14        0.718   0.731      0.878    0.976       0.748      0.840      0.917     0.923     0.913
 Mn(CO)4NO      0.685   0.725      0.876    0.949       0.907      0.919      0.973    0.976      0.975
    PR12        0.688   0.684      0.871    0.965       0.831      0.838      0.973    0.977      0.974
    PR04        0.692   0.722      0.873    0.977       0.735      0.892      0.956     0.956     0.958
  Ni(CO)4       0.713   0.750      0.881    0.958       0.916      0.959     0.977      0.976     0.973
    PR03        0.713   0.750      0.881    0.958       0.916      0.959     0.977      0.976     0.974
  Cr(C6H6)2     0.632   0.737      0.870    0.972       0.636      0.889     0.979      0.961     0.960
    PR14        0.696   0.709      0.877    0.979       0.719      0.822      0.949     0.943     0.938
    PR02        0.685   0.727      0.876    0.953       0.898      0.925      0.977    0.980      0.980
   Fe(CO)5      0.685   0.727      0.876    0.953       0.899      0.925      0.978    0.980      0.980
  CoH(CO)4      0.700   0.739      0.879    0.959       0.907      0.933      0.979    0.980      0.980
  Ni(acac)2     0.736   0.740      0.878    0.981       0.817      0.918      0.929     0.929     0.929
     ocs        0.844   0.844      0.915    0.982       0.944      0.934      0.976     0.975     0.979
 beta-lactim    0.725   0.713      0.873    0.983       0.796      0.933      0.978     0.977     0.982
  dithiotane    0.839   0.845      0.915    0.983       0.902      0.938      0.980     0.979     0.982
   ED40a        0.639   0.651      0.872    0.984       0.745      0.961      0.977     0.976     0.975
 acetaldehyde   0.714   0.724      0.872    0.980       0.797      0.926      0.982     0.982     0.984
   oxetane      0.698   0.715      0.871    0.985       0.760      0.948      0.979     0.978     0.981
 methanol       0.736   0.766      0.880    0.982       0.864      0.962      0.984     0.984     0.985
   AcCl         0.828   0.833      0.916    0.985       0.903      0.868      0.955     0.954     0.963
  ch3ph2        0.765   0.782      0.898    0.986       0.834      0.936      0.983     0.982     0.984
  ethanol       0.704   0.730      0.876    0.986       0.793      0.944      0.978     0.977     0.980
   ccl2o        0.895   0.868      0.947    0.986       0.971      0.954      0.982     0.981     0.985
  oxirane       0.725   0.752      0.874    0.982       0.800      0.962      0.985     0.984     0.986
    nh3         0.733   0.799      0.874    0.984       0.978      0.967     0.986      0.986     0.986
    cs2         0.858   0.839      0.928    0.983       0.942      0.977      0.986     0.985     0.987
 Sc(acac)3      0.697   0.704      0.884    0.987       0.797      0.850      0.981     0.983     0.971
   acetic       0.757   0.769      0.885    0.980       0.869      0.951      0.985     0.985     0.987
    clcof       0.871   0.838      0.938    0.984       0.965      0.939      0.983     0.983     0.987
   ketene       0.725   0.752      0.873    0.985       0.820      0.963      0.985     0.985     0.987
    n2h4        0.703   0.753      0.874    0.984       0.980      0.969      0.987     0.986     0.987
 Zn(CH3)2       0.782   0.798      0.874    0.952       0.854      0.951     0.988      0.987     0.987
   PR06         0.666   0.701      0.873    0.960       0.851      0.894      0.986    0.988      0.986
   FeCp2        0.678   0.751      0.874    0.988       0.689      0.909      0.971     0.971     0.970
 cis-c2f2cl2    0.846   0.834      0.946    0.988       0.943      0.898      0.978     0.977     0.982
trans-c2f2cl2   0.845   0.823      0.946    0.988       0.943      0.911      0.977     0.977     0.982
    clcn        0.830   0.862      0.922    0.987       0.926      0.945      0.986     0.985     0.988
   c2h5f        0.738   0.758      0.892    0.988       0.798      0.906      0.981     0.980     0.983
   ED27         0.732   0.750      0.888    0.988       0.752      0.920      0.976     0.975     0.976
     sio        0.902   0.881      0.890    0.986       0.942      0.974     0.988      0.988     0.988
   ED28         0.721   0.742      0.886    0.989       0.741      0.901      0.973     0.973     0.973
  ch3nh2        0.685   0.730      0.870    0.989       0.864      0.951      0.979     0.979     0.981
 dioxetane      0.768   0.780      0.881    0.978       0.889      0.970      0.987     0.987     0.989
    ch2c        0.720   0.729      0.816    0.989       0.671      0.955      0.984     0.983     0.984
   PMe3         0.715   0.741      0.885    0.989       0.747      0.916      0.977     0.976     0.978
       cs          0.905   0.868      0.897    0.987       0.920      0.982      0.989     0.989     0.989
     c2cl6         0.913   0.892      0.961    0.989       0.978      0.952      0.980     0.979     0.985
     c2h3f         0.753   0.764      0.891    0.989       0.808      0.942      0.983     0.982     0.984
     PR01          0.663   0.710      0.873    0.966       0.858      0.912      0.987    0.990      0.988
      ch3f         0.782   0.804      0.903    0.986       0.871      0.969      0.990     0.989     0.990
     ch2nh         0.703   0.732      0.859    0.986       0.854      0.978      0.990     0.989     0.990
      ccl2         0.951   0.933      0.946    0.988       0.983      0.981      0.989     0.989     0.990
   oxadiazole      0.768   0.724      0.870    0.982       0.848      0.971      0.990     0.989     0.990
  formamide        0.724   0.746      0.885    0.981       0.940      0.958      0.989     0.989     0.990
      h2o          0.827   0.863      0.893    0.973       0.963      0.980     0.991      0.990     0.991
     PR40          0.713   0.722      0.896    0.991       0.790      0.908      0.979     0.979     0.980
    MnO3F          0.812   0.815      0.888    0.946       0.934      0.975     0.991      0.990     0.988
     furan         0.701   0.722      0.872    0.991       0.729      0.975      0.986     0.985     0.987
      hccf         0.771   0.809      0.890    0.991       0.774      0.984      0.991     0.991     0.991
 dioxetan2one      0.766   0.750      0.890    0.976       0.917      0.938      0.989     0.988     0.991
     ch2clf        0.889   0.883      0.940    0.988       0.948      0.920      0.990     0.989     0.991
   Cr(CO)6         0.663   0.710      0.873    0.966       0.859      0.915      0.988    0.991      0.989
     c2cl4         0.877   0.866      0.957    0.991       0.955      0.955      0.979     0.978     0.982
      s2o          0.885   0.892      0.933    0.984       0.987      0.970      0.990     0.990     0.991
     nh2oh         0.757   0.786      0.880    0.976       0.967      0.978      0.991     0.991     0.991
   TiCl2Me2        0.807   0.789      0.928    0.992       0.879      0.843      0.984     0.986     0.988
     ccl2h2        0.909   0.903      0.952    0.992       0.957      0.959      0.989     0.988     0.990
   thiophene       0.736   0.769      0.893    0.992       0.761      0.901      0.965     0.963     0.967
     hoclo         0.882   0.890      0.928    0.971       0.981      0.976     0.992      0.991     0.992
     PhSH          0.729   0.747      0.885    0.992       0.726      0.875      0.920     0.920     0.921
     nh2cl         0.866   0.883      0.934    0.987       0.986      0.966      0.991     0.991     0.992
formic-anhydride   0.751   0.775      0.888    0.977       0.928      0.950      0.990     0.990     0.992
    ccl3h        0.890   0.898      0.959    0.990       0.979      0.969      0.990     0.989     0.992
    ED30         0.708   0.717      0.878    0.992       0.750      0.820      0.976     0.979     0.971
     clno        0.882   0.884      0.922    0.985       0.986      0.923      0.988     0.986     0.992
    PCy3         0.663   0.682      0.871    0.992       0.661      0.783      0.963     0.964     0.962
   hoclo2        0.878   0.872      0.926    0.969       0.979      0.979     0.992      0.992     0.992
   glyoxal       0.786   0.769      0.876    0.977       0.882      0.975      0.991     0.991     0.992
CrO2(NO3)2       0.760   0.733      0.890    0.962       0.936      0.939     0.992      0.992     0.990
tetrahedrane     0.663   0.704      0.863    0.993       0.583      0.969      0.983     0.982     0.984
     ccl4        0.945   0.908      0.963    0.989       0.984      0.978      0.991     0.990     0.993
 cyclobutene     0.643   0.670      0.859    0.993       0.635      0.950      0.975     0.974     0.977
    cf2cl2       0.886   0.872      0.955    0.986       0.979      0.949      0.991     0.990     0.993
    cclh3        0.852   0.867      0.935    0.993       0.910      0.944      0.986     0.986     0.988
    silole       0.703   0.700      0.877    0.993       0.681      0.891      0.954     0.953     0.959
   oxirene       0.748   0.800      0.862    0.977       0.789      0.986      0.993     0.992     0.993
    hnnn         0.738   0.727      0.870    0.981       0.973      0.967      0.992     0.992     0.993
     fccf        0.831   0.848      0.910    0.986       0.837      0.993      0.992     0.993     0.993
 cyclobutane     0.634   0.643      0.863    0.993       0.639      0.931      0.968     0.967     0.972
  dioxirane      0.806   0.806      0.876    0.974       0.875      0.976      0.993     0.992     0.993
    ED31         0.685   0.693      0.871    0.993       0.643      0.816      0.964     0.966     0.954
    c2clh5       0.802   0.817      0.919    0.993       0.846      0.831      0.975     0.973     0.978
   PhSeH         0.793   0.808      0.911    0.993       0.796      0.902      0.936     0.936     0.937
    c2cl2        0.866   0.901      0.944    0.993       0.894      0.941      0.975     0.974     0.978
    CrF6         0.787   0.795      0.922    0.969       0.952     0.993       0.993     0.993     0.991
     c2f4        0.792   0.825      0.928    0.983       0.925      0.986      0.992     0.992     0.993
cyclobutadiene   0.658   0.702      0.850    0.993       0.608      0.974      0.985     0.984     0.986
   t-hcoh        0.779   0.782      0.856    0.982       0.854      0.983      0.993     0.993     0.994
    formic       0.791   0.801      0.890    0.977       0.936      0.981      0.993     0.993     0.994
   Ni(PF3)4       0.878   0.849      0.939    0.973       0.966      0.979      0.993    0.994      0.992
    c-hcoh        0.777   0.779      0.856    0.982       0.868      0.987      0.993     0.993     0.994
   CrO2Cl2        0.811   0.794      0.926    0.970       0.940      0.912      0.994    0.994      0.992
    c2clh3        0.819   0.826      0.919    0.994       0.857      0.862      0.949     0.947     0.955
   TiCl3Me        0.817   0.801      0.947    0.992       0.930      0.835      0.991     0.993     0.994
     si2h6        0.797   0.786      0.909    0.992       0.784      0.985      0.992     0.993     0.994
     c2f6         0.825   0.816      0.936    0.982       0.963      0.980      0.992     0.992     0.994
 cyclopropene     0.630   0.684      0.857    0.994       0.626      0.967      0.983     0.982     0.985
    ED40b         0.786   0.801      0.914    0.994       0.838      0.875      0.984     0.985     0.985
     nccn         0.707   0.682      0.852    0.987       0.814      0.985      0.993     0.993     0.994
     hocl         0.892   0.913      0.939    0.982       0.987      0.975      0.994     0.993     0.994
     ch2f2        0.852   0.867      0.921    0.983       0.933      0.982      0.994     0.993     0.994
    t-hono        0.799   0.753      0.883    0.976       0.972      0.977      0.994     0.994     0.994
   ch2-sing       0.753   0.591      0.783    0.775       0.644      0.992      0.994     0.994     0.994
     h2co         0.757   0.768      0.873    0.977       0.883      0.985      0.994     0.994     0.994
 cyclopropane     0.634   0.653      0.865    0.994       0.636      0.944      0.974     0.973     0.976
  n-pentane       0.628   0.662      0.865    0.994       0.657      0.869      0.968     0.968     0.970
cyclopentadiene   0.643   0.688      0.860    0.994       0.618      0.958      0.978     0.977     0.980
   n-butane       0.629   0.665      0.864    0.994       0.661      0.910      0.968     0.967     0.971
     hcno         0.773   0.798      0.880    0.981       0.887      0.985      0.994     0.993     0.994
     hcof         0.836   0.824      0.906    0.980       0.942      0.990      0.994     0.994     0.994
     honc         0.780   0.812      0.864    0.983       0.911      0.906      0.994     0.993     0.995
   propane        0.625   0.670      0.864    0.995       0.669      0.925      0.969     0.968     0.972
     c2clh        0.833   0.857      0.921    0.995       0.835      0.886      0.970     0.969     0.974
     c2h6         0.628   0.700      0.863    0.995       0.681      0.933      0.972     0.971     0.974
     hooh         0.797   0.849      0.885    0.971       0.971      0.988      0.995     0.994     0.995
    pyrrole       0.672   0.663      0.870    0.995       0.718      0.969      0.983     0.983     0.985
   so2        0.868   0.870      0.922    0.982       0.982      0.987     0.995      0.995     0.994
   nh2f       0.805   0.824      0.900    0.978       0.972      0.983      0.995     0.994     0.995
  c-n2h2      0.764   0.682      0.858    0.984       0.975      0.992      0.995     0.994     0.995
   sih4       0.750   0.771      0.905    0.992       0.778      0.987      0.994     0.994     0.995
  borole      0.659   0.675      0.846    0.995       0.615      0.915      0.983     0.982     0.984
  t-n2h2      0.766   0.688      0.858    0.985       0.871      0.989      0.995     0.994     0.995
 propene      0.634   0.668      0.860    0.995       0.682      0.944      0.976     0.975     0.978
   ch4        0.617   0.727      0.862    0.995       0.718      0.940      0.976     0.976     0.977
   hnco       0.751   0.746      0.883    0.983       0.926      0.988      0.995     0.994     0.995
  allene      0.640   0.656      0.855    0.995       0.642      0.974      0.984     0.983     0.985
    fno       0.863   0.828      0.897    0.979       0.977      0.993     0.995      0.995     0.995
  c-hono      0.798   0.749      0.883    0.976       0.974      0.985      0.995     0.995     0.995
  hclo4       0.881   0.860      0.927    0.967       0.977      0.988     0.995      0.995     0.995
   hocn       0.772   0.755      0.874    0.979       0.893      0.974      0.995     0.995     0.996
   chf3       0.901   0.893      0.933    0.982       0.966      0.989      0.995     0.995     0.996
 propyne      0.645   0.669      0.855    0.996       0.631      0.954      0.982     0.982     0.984
    alf       0.929   0.911      0.906    0.988       0.972      0.987      0.996     0.995     0.996
t-butadiene   0.641   0.662      0.857    0.996       0.655      0.950      0.978     0.978     0.980
   b2h6       0.561   0.605      0.834    0.996       0.545      0.933      0.977     0.977     0.980
   n2o4       0.779   0.773      0.893    0.974       0.969      0.984      0.995     0.995     0.996
   f2co       0.836   0.819      0.924    0.980       0.956      0.995      0.996     0.996     0.996
 benzene      0.650   0.706      0.862    0.996       0.604      0.967      0.983     0.982     0.984
 CrO2F2       0.820   0.807      0.904    0.963       0.923     0.996       0.995     0.995     0.993
   hnc        0.796   0.760      0.844    0.994       0.880      0.980     0.996      0.996     0.996
   c2h4       0.635   0.748      0.855    0.996       0.670      0.967      0.983     0.983     0.984
   ph3        0.817   0.829      0.913    0.982       0.935      0.996      0.996     0.996     0.996
    hf        0.917   0.931      0.934    0.979       0.971      0.995     0.997      0.996     0.996
  sih3f    0.835   0.838      0.924    0.988       0.884      0.994      0.996     0.996     0.997
 VOCl3     0.821   0.796      0.945    0.982       0.956      0.928      0.995     0.996     0.997
  cf4      0.889   0.843      0.941    0.982       0.970      0.993      0.996     0.996     0.997
   p4      0.990   0.884      0.921    0.985       0.844      0.994      0.996     0.996     0.997
  hcn      0.732   0.752      0.848    0.987       0.811      0.990      0.997     0.997     0.997
  bhf2     0.882   0.881      0.920    0.986       0.930      0.995      0.996     0.997     0.997
  bh3      0.606   0.771      0.801    0.997       0.586      0.977      0.991     0.991     0.991
  hof      0.842   0.870      0.906    0.974       0.980      0.990      0.997     0.997     0.997
  pf3      0.902   0.883      0.942    0.984       0.980      0.993     0.998      0.998     0.998
  hno      0.789   0.786      0.869    0.979       0.961      0.996      0.998     0.998     0.998
  cf2      0.918   0.886      0.911    0.984       0.969     0.998       0.997     0.998     0.998
  h2s      0.885   0.893      0.936    0.983       0.977     0.998       0.997     0.997     0.997
 VOF3      0.823   0.818      0.918    0.974       0.936      0.992     0.998      0.998     0.998
   clf     0.923   0.938      0.954    0.982       0.994      0.992      0.998     0.998     0.998
  bf3      0.921   0.940      0.936    0.985       0.962      0.998      0.998     0.998     0.998
  n2o      0.769   0.749      0.882    0.981       0.975      0.991      0.998     0.998     0.998
  ScF3     0.928   0.946      0.937    0.983       0.969      0.996     0.998      0.998     0.998
  so3      0.846   0.856      0.924    0.977       0.977      0.998     0.998      0.998     0.998
  alcl     0.948   0.939      0.933    0.991       0.981      0.995      0.998     0.998     0.999
  c2h2     0.589   0.806      0.845    0.999       0.613      0.990      0.993     0.992     0.993
  co2      0.738   0.830      0.893    0.981       0.939     0.999       0.999     0.999     0.999
  alh3     0.763   0.785      0.881    0.996       0.817      0.998      0.998     0.999     0.999
   bh      0.819   0.592      0.698    0.666       0.711      0.997      0.999    0.999      0.999
   sf6     0.899   0.906      0.953    0.983       0.983      0.996      0.999     0.999     0.999
  alh      0.886   0.898      0.862    0.860       0.900      0.986     0.999      0.999     0.999
 TiCl4     0.846   0.816      0.962    0.992       0.972      0.982      0.998     0.999     0.999
  pf5      0.875   0.885      0.952    0.985       0.980      0.998      0.999     0.999     0.999
      VF5          0.833       0.838       0.930       0.979         0.955       0.989       0.999        0.999         0.999
      TiF4         0.813       0.809       0.934       0.983         0.955       0.998       0.999        0.999         0.999
          bf       0.925       0.846       0.866       0.986         0.958       0.996       0.999        0.999         0.999
      alf3         0.947       0.957       0.938       0.987         0.967       0.998       0.999        0.999         0.999
       p2          0.928       0.880       0.913       0.993         0.865       0.999       0.999        0.999         0.999
      sif4         0.897       0.868       0.948       0.986         0.976       0.999       0.999        0.999         0.999
      alcl3        0.904       0.893       0.966       0.995         0.982       0.998       0.999        0.999         1.000
       hcl         0.952       0.956       0.969       0.992         0.990       0.999       1.000        1.000         1.000
       co          0.862       0.799       0.854       0.988         0.928       0.994       1.000        1.000         1.000
          f2       0.889       0.944       0.927       0.975         0.996       0.999       1.000        1.000         1.000
       cl2         0.941       0.962       0.968       0.988         0.995       0.999       1.000        1.000         1.000
       n2          0.792       0.742       0.852       0.993         0.855       0.999       1.000        1.000         1.000
       h2          1.000       1.000       0.829       1.000         1.000       1.000       1.000        1.000         1.000
      Best             1           1           0           82            1           7           27           23            87

