Table S13: Neutral singlet molecules, HF/aug-pcseg-2: fraction f of electron density covered.

  Molecule          GWH         CORE        SAD     SADNO        HUCKEL           GSZ          LDA-X        CAP-X         CHA-X
cyclobutadiene   0.312   0.588   0.866    0.963      0.968      0.940    0.965     0.964     0.967
   FeCp2         0.348   0.459   0.890   0.968        0.951     0.885    0.946     0.947     0.951
Fe(C5Me5)(P5)    0.343   0.559   0.914   0.968        0.963     0.814    0.893     0.896     0.892
    allene       0.455   0.560   0.869    0.956       0.960     0.941    0.967     0.966     0.968
    borole       0.316   0.577   0.865    0.964      0.969      0.885    0.963     0.962     0.965
    PMe3         0.400   0.521   0.896    0.963      0.969      0.891    0.964     0.963     0.966
 beta-lactim     0.332   0.616   0.883    0.959       0.966     0.921    0.966     0.965     0.970
    PR15         0.384   0.464   0.889    0.955       0.956     0.911    0.970    0.970      0.970
    silole       0.361   0.564   0.895    0.965      0.971      0.867    0.935     0.934     0.939
    PR40         0.384   0.542   0.908    0.969      0.971      0.879    0.955     0.958     0.964
    ch2c         0.431   0.618   0.830    0.947       0.950     0.925    0.971     0.969     0.971
  Ni(acac)2      0.325   0.473   0.891    0.953       0.958     0.907   0.971      0.955     0.968
    ED28         0.276   0.518   0.899    0.966      0.972      0.874    0.960     0.961     0.959
    c2h5f        0.357   0.618   0.897    0.961       0.968     0.907    0.969     0.968     0.972
    ED27         0.280   0.515   0.901    0.966      0.972      0.896    0.964     0.964     0.964
    furan        0.380   0.619   0.885    0.966       0.971     0.946    0.970     0.969     0.972
Co(CO)3(NO)      0.446   0.498   0.889    0.957       0.954     0.946    0.971    0.972      0.971
   pyrrole       0.324   0.606   0.882    0.967      0.972      0.936    0.964     0.963     0.967
  Sc(acac)3      0.253   0.501   0.897    0.967      0.972      0.819    0.968     0.971     0.956
   ED40a         0.385   0.489   0.879    0.957       0.949     0.935   0.972      0.971     0.969
    PR12         0.272   0.439   0.886    0.953       0.958     0.818    0.969    0.973      0.972
   oxirane       0.386   0.613   0.879    0.954       0.962     0.935    0.971     0.970     0.973
   PR02        0.355   0.477   0.890    0.957       0.958     0.920    0.971    0.973      0.973
Cr(C6H6)2      0.305   0.443   0.890   0.973        0.959     0.867    0.954     0.957     0.960
acetaldehyde   0.383   0.599   0.881    0.954       0.962     0.910    0.971     0.970     0.973
  benzene      0.399   0.603   0.880    0.969      0.973      0.934    0.963     0.962     0.966
 Fe(CO)5       0.371   0.476   0.890    0.957       0.958     0.921    0.971    0.974      0.973
   PCy3        0.222   0.460   0.889    0.968      0.974      0.726    0.947     0.948     0.940
  ch3ph2       0.507   0.507   0.908    0.963       0.969     0.912    0.972     0.970     0.974
   ED31        0.239   0.484   0.892    0.972      0.975      0.772    0.953     0.952     0.930
   ED30        0.246   0.526   0.894    0.971      0.975      0.772    0.962     0.965     0.953
 methanol      0.368   0.609   0.882    0.955       0.962     0.937    0.974     0.974     0.975
 thiophene     0.433   0.587   0.906    0.972      0.976      0.880    0.951     0.950     0.954
 dithiotane    0.524   0.556   0.923    0.970      0.976      0.912    0.965     0.963     0.969
CoH(CO)4       0.424   0.504   0.892    0.959       0.958     0.930    0.974    0.976      0.976
   c2clh5      0.514   0.540   0.922    0.971      0.976      0.833    0.960     0.958     0.965
   PhSH        0.424   0.587   0.902    0.973      0.976      0.852    0.906     0.906     0.908
    nh3        0.359   0.627   0.866    0.952       0.962     0.935   0.976      0.975     0.976
   AcCl        0.507   0.577   0.924    0.971      0.976      0.853    0.945     0.943     0.951
   c2h2        0.467   0.581   0.862    0.966       0.965     0.957   0.977      0.975     0.976
  ED40b        0.438   0.573   0.925    0.972      0.977      0.854    0.975     0.975     0.976
   CuCN        0.626   0.655   0.862    0.935       0.945     0.977    0.948     0.942     0.950
   acetic      0.377   0.632   0.894    0.962       0.968     0.932    0.975     0.974     0.978
   ch2nh       0.394   0.598   0.864    0.959       0.964     0.948    0.977     0.976     0.978
   c2clh3      0.531   0.543   0.925    0.975      0.978      0.859    0.942     0.940     0.948
   n2h4        0.371   0.600   0.871    0.956       0.966     0.942    0.977     0.976     0.978
   c2h3f       0.385   0.631   0.900    0.967       0.971     0.937    0.977     0.976     0.978
 dioxetane     0.418   0.620   0.887    0.957       0.964     0.946    0.976     0.975     0.978
   cclh3       0.543   0.554   0.935    0.974       0.978     0.918    0.977     0.976     0.979
   ketene       0.414   0.632   0.885    0.963       0.967     0.944    0.978     0.977     0.979
    bh3         0.405   0.652   0.807    0.938       0.942     0.939    0.979     0.979     0.980
 TiCl2Me2       0.549   0.588   0.931    0.977      0.980      0.825    0.920     0.927     0.944
   ED02         0.426   0.496   0.884    0.944       0.952     0.937    0.978    0.980      0.980
   c2clh        0.559   0.559   0.929   0.980        0.978     0.879    0.962     0.960     0.966
 oxadiazole     0.400   0.634   0.881    0.968       0.973     0.950    0.979     0.977     0.980
 formamide      0.405   0.628   0.890    0.964       0.970     0.936    0.979     0.978     0.981
    clcn        0.599   0.559   0.930   0.981        0.979     0.936    0.977     0.975     0.979
  PhSeH         0.504   0.615   0.921    0.977      0.981      0.884    0.926     0.925     0.927
   PR06         0.335   0.455   0.887    0.949       0.958     0.883    0.977     0.980     0.981
  oxirene       0.397   0.655   0.873    0.956       0.960     0.960    0.981     0.980     0.981
    ocs         0.605   0.540   0.927    0.980      0.981      0.918    0.965     0.963     0.967
 Zn(CH3)2       0.596   0.595   0.886    0.946       0.957     0.956   0.981      0.981     0.981
   CuMe         0.673   0.671   0.864    0.939       0.947     0.960    0.981     0.980     0.981
   PR01         0.271   0.448   0.887    0.950       0.960     0.899    0.979    0.982      0.981
    ch3f        0.377   0.638   0.904    0.962       0.967     0.947    0.981     0.981     0.982
   ch2clf       0.537   0.551   0.943    0.978       0.980     0.905    0.980     0.979     0.982
 Cr(CO)6        0.272   0.448   0.887    0.949       0.959     0.902    0.980    0.983      0.982
dioxetan2one    0.419   0.631   0.900    0.966       0.970     0.920    0.981     0.980     0.983
    clcof       0.534   0.585   0.945   0.983        0.983     0.925    0.974     0.973     0.978
    cs2         0.654   0.648   0.940    0.982      0.984      0.961    0.977     0.976     0.978
     cs         0.648   0.601   0.908   0.984        0.984     0.969    0.982     0.981     0.982
   ccl2h2       0.605   0.615   0.953    0.982      0.984      0.937    0.980     0.979     0.983
 cis-c2f2cl2    0.549   0.569   0.952    0.984      0.984      0.906    0.967     0.966     0.972
trans-c2f2cl2   0.544   0.568   0.952    0.984      0.984      0.901    0.967     0.966     0.972
  glyoxal       0.418   0.676   0.886    0.905       0.972     0.956    0.983     0.982     0.985
    clno        0.563   0.543   0.927    0.981      0.985      0.911    0.971     0.969     0.979
      p4           0.713   0.717   0.934    0.979      0.985      0.974    0.983     0.981     0.985
      hccf         0.432   0.673   0.903    0.975       0.974     0.971    0.985     0.984     0.985
     c2cl2         0.590   0.606   0.950   0.985        0.984     0.933    0.968     0.967     0.971
     ccl2o         0.610   0.580   0.952    0.984      0.985      0.942    0.974     0.973     0.978
formic-anhydride   0.407   0.637   0.898    0.970       0.972     0.935    0.983     0.983     0.985
   dioxirane       0.415   0.658   0.882    0.958       0.967     0.955    0.985     0.984     0.985
     h2co          0.434   0.628   0.878    0.964       0.968     0.961    0.985     0.985     0.986
     nh2oh         0.363   0.630   0.880    0.959       0.967     0.957    0.985     0.985     0.986
     cf2cl2        0.550   0.582   0.960    0.985      0.986      0.935    0.981     0.980     0.985
     ED01          0.359   0.462   0.884    0.944       0.955     0.921    0.985    0.986      0.986
     nh2cl         0.559   0.552   0.933    0.977       0.982     0.945    0.985     0.984     0.986
     ccl3h         0.633   0.650   0.962    0.985      0.987      0.951    0.981     0.980     0.984
      hnc          0.466   0.630   0.853    0.970       0.969     0.957   0.987      0.985     0.986
     hnnn          0.460   0.612   0.877    0.964       0.966     0.949    0.986     0.985     0.987
   TiCl3Me         0.621   0.631   0.948    0.984      0.987      0.810    0.951     0.956     0.967
   CrO2Cl2         0.626   0.614   0.930    0.975       0.986     0.883    0.975     0.977     0.987
     formic        0.409   0.686   0.897    0.969       0.972     0.961    0.986     0.985     0.987
     nccn          0.496   0.674   0.869    0.973       0.972     0.969    0.986     0.985     0.987
     c2cl4         0.622   0.644   0.961    0.986      0.987      0.939    0.969     0.968     0.973
     t-hcoh        0.393   0.640   0.860    0.961       0.961     0.959    0.987     0.986     0.987
      sio          0.618   0.702   0.896    0.982      0.987      0.965    0.986     0.985     0.986
      s2o          0.643   0.611   0.937    0.980       0.983     0.958    0.986     0.985     0.987
    t-n2h2         0.383   0.558   0.860    0.963       0.962     0.965    0.987     0.986     0.987
     honc          0.451   0.672   0.873    0.966       0.966     0.882    0.986     0.985     0.987
    c-hcoh         0.401   0.638   0.860    0.962       0.967     0.850    0.987     0.986     0.987
     hcno          0.452   0.662   0.889    0.968       0.970     0.968    0.987     0.986     0.987
     hnco          0.437   0.655   0.893    0.972       0.974     0.969    0.987     0.986     0.987
 Ni(CO)4     0.466   0.515   0.891    0.962       0.963     0.966    0.986    0.987      0.986
  PR03       0.466   0.515   0.891    0.962       0.963     0.966    0.986    0.987      0.986
  c-n2h2     0.392   0.555   0.861    0.965       0.970     0.967    0.987     0.986     0.988
   c2cl6     0.627   0.683   0.965    0.986      0.988      0.931    0.967     0.966     0.974
CrO2(NO3)2   0.449   0.488   0.900    0.965       0.974     0.900    0.986     0.987     0.988
   hcn       0.466   0.629   0.860    0.970       0.969     0.969   0.988      0.987     0.988
   ccl4      0.646   0.672   0.966    0.986      0.988      0.963    0.982     0.981     0.985
 Ni(PH3)2    0.608   0.662   0.904    0.949       0.952     0.970    0.988    0.988      0.987
   h2o       0.340   0.674   0.890    0.964       0.970     0.959   0.988      0.987     0.987
   ccl2      0.636   0.647   0.949    0.986      0.988      0.973    0.985     0.984     0.987
   si2h6     0.646   0.594   0.926    0.965       0.970     0.967    0.987     0.987     0.988
   hocn      0.468   0.678   0.886    0.969       0.969     0.958    0.988     0.988     0.989
   fccf      0.430   0.710   0.922    0.980       0.978     0.981    0.989     0.989     0.989
 ch2-sing    0.438   0.502   0.782    0.708       0.959     0.731   0.989      0.989     0.989
  ch2f2      0.402   0.679   0.925    0.973       0.974     0.967    0.989     0.988     0.989
  MnO3F      0.551   0.521   0.895    0.956       0.970     0.944    0.988     0.989     0.990
   c2f4      0.419   0.744   0.936    0.981       0.981     0.976    0.989     0.988     0.990
  ED03       0.507   0.542   0.884    0.940       0.959     0.974    0.990    0.990      0.989
   c2f6      0.399   0.669   0.944    0.982       0.982     0.969    0.988     0.988     0.990
   sih4      0.632   0.576   0.919    0.957       0.962     0.967    0.989     0.989     0.991
   n2o4      0.436   0.633   0.902    0.971       0.975     0.966    0.989     0.988     0.991
   hcof      0.429   0.706   0.914    0.976       0.976     0.976    0.990     0.990     0.991
   nh2f      0.388   0.659   0.901    0.967       0.974     0.963    0.991     0.990     0.991
  VOCl3      0.654   0.640   0.947    0.984      0.991      0.889    0.960     0.964     0.973
  t-hono     0.422   0.602   0.889    0.969       0.973     0.962    0.991     0.990     0.991
  hoclo      0.526   0.538   0.929    0.971       0.979     0.967    0.992     0.991     0.992
   hocl      0.563   0.550   0.940    0.979       0.986     0.963    0.991     0.991     0.992
 TiCl4     0.672   0.664   0.962    0.991      0.992      0.924    0.977     0.980     0.985
 c-hono    0.410   0.601   0.890    0.971       0.976     0.969    0.992     0.991     0.992
  ph3      0.635   0.587   0.925    0.966       0.970     0.969    0.992     0.991     0.992
  hooh     0.358   0.651   0.889    0.965       0.974     0.972    0.992     0.992     0.992
 hoclo2    0.510   0.568   0.926    0.969       0.974     0.969    0.992     0.992     0.992
  chf3     0.381   0.727   0.939    0.979       0.980     0.977    0.992     0.991     0.993
  n2o      0.464   0.670   0.891    0.972       0.974     0.973    0.992     0.992     0.993
  co2      0.474   0.723   0.905    0.979       0.978     0.982    0.993     0.992     0.993
 hclo4     0.504   0.588   0.928    0.968       0.974     0.972    0.992     0.992     0.993
  f2co     0.427   0.705   0.933    0.982       0.981     0.983    0.993     0.992     0.993
  sih3f    0.548   0.666   0.931    0.969       0.973     0.979    0.992     0.992     0.993
  hno      0.398   0.646   0.873    0.971       0.973     0.978   0.993      0.993     0.993
  so2      0.564   0.533   0.923    0.973       0.977     0.978   0.994      0.993     0.993
  bhf2     0.379   0.715   0.926    0.982       0.978     0.983    0.993     0.993     0.994
   alf     0.646   0.778   0.908    0.984       0.987     0.977    0.993     0.993     0.994
   p2      0.710   0.702   0.927    0.989       0.991     0.988    0.994     0.993     0.994
  cf4      0.408   0.662   0.948    0.984       0.984     0.983    0.993     0.993     0.994
   co      0.479   0.665   0.861    0.976       0.979     0.979   0.995      0.994     0.994
Ni(PF3)4   0.509   0.488   0.946    0.980       0.982     0.974    0.994    0.995      0.992
   n2      0.446   0.600   0.859    0.976       0.980     0.985   0.995      0.995     0.995
  fno      0.432   0.664   0.905    0.977       0.981     0.985    0.995     0.995     0.995
  alcl3    0.662   0.706   0.971    0.994       0.992     0.991    0.995     0.995     0.995
   sf6     0.461   0.636   0.957    0.984       0.986     0.984    0.994     0.994     0.995
  bf3      0.377   0.753   0.943    0.988       0.985     0.988    0.995     0.995     0.996
  so3      0.537   0.547   0.929    0.975       0.979     0.986    0.995     0.995     0.996
  h2s      0.626   0.603   0.943    0.977       0.979     0.978    0.996     0.995     0.996
  pf3      0.501   0.582   0.945    0.982       0.987     0.982    0.995     0.995     0.996
  hof      0.410   0.683   0.910     0.971       0.981     0.977   0.996   0.995   0.996
  alcl     0.685   0.714   0.937     0.989       0.990     0.985   0.995   0.995   0.996
 CrF6      0.496   0.528   0.928     0.977       0.986     0.972   0.996   0.996    0.995
  alh3     0.658   0.628   0.900     0.969       0.968     0.983   0.995   0.995   0.996
  cf2      0.448   0.719   0.917     0.980       0.982     0.988   0.996   0.996   0.996
 VOF3      0.519   0.538   0.923     0.981       0.986     0.958   0.994   0.995   0.996
   bf      0.485   0.701   0.870     0.977       0.978     0.984   0.996   0.996    0.996
CrO2F2     0.538   0.527   0.909     0.970       0.979     0.981   0.996   0.996    0.996
  pf5      0.469   0.608   0.957     0.987       0.988     0.988   0.996   0.995   0.996
  VF5      0.500   0.537   0.935     0.986       0.988     0.952   0.994   0.996   0.997
   bh      0.558   0.518   0.700     0.701       0.961     0.977   0.997   0.997    0.997
  sif4     0.469   0.579   0.953     0.988       0.988     0.991   0.997   0.997   0.997
   hf      0.391   0.724   0.935     0.984       0.983     0.985   0.997   0.997    0.997
   clf     0.565   0.551   0.954     0.983       0.991     0.986   0.997   0.997   0.997
  TiF4     0.504   0.528   0.938     0.991       0.987     0.977   0.996   0.997   0.997
  ScF3     0.541   0.475   0.942     0.994       0.988     0.990   0.998   0.998    0.997
  alh      0.745   0.683   0.870     0.848       0.983     0.971   0.998   0.997   0.998
  alf3     0.464   0.690   0.945     0.991       0.987     0.990   0.998   0.998    0.998
  cl2      0.648   0.680   0.968     0.989       0.994     0.993   0.998   0.998   0.998
  hcl      0.610   0.708   0.968     0.990       0.989     0.988   0.999   0.998    0.999
   f2      0.426   0.702   0.932     0.975       0.990     0.994   0.999   0.999   0.999
   h2      0.000   0.969   0.827     0.910       0.910     0.969   0.999   0.999    0.999
  Best      0       0        0        16          54         1      20      23      108



