 Table S7: Neutral singlet molecules, revTPSSh/pcseg-0: fraction f of electron density covered.

 Molecule          GWH         CORE        SAD     SADNO        HUCKEL            GSZ          LDA-X        CAP-X         CHA-X
     honc          0.525   0.687      0.879    0.975       0.976      0.889      0.992     0.991     0.992
     ccl3h         0.724   0.803      0.966    0.988       0.989      0.968      0.991     0.990     0.993
      clno         0.668   0.736      0.929    0.982       0.986      0.922      0.987     0.986     0.993
     nccn          0.553   0.693      0.872    0.981       0.978      0.976      0.992     0.992     0.993
    t-n2h2         0.511   0.581      0.867    0.973       0.969      0.977      0.993     0.992     0.993
     si2h6         0.681   0.720      0.942    0.985       0.988      0.972      0.991     0.992     0.993
     formic        0.534   0.698      0.903    0.974       0.976      0.971      0.993     0.992     0.993
       cs          0.702   0.761      0.910    0.987       0.991      0.982      0.993     0.993     0.993
   CrO2Cl2         0.713   0.750      0.930    0.969       0.988      0.891      0.985     0.986     0.993
     ch2f2         0.539   0.694      0.932    0.978       0.979      0.975      0.993     0.992     0.993
     cf2cl2        0.676   0.748      0.963    0.987       0.987      0.948      0.991     0.990     0.993
      hcn          0.537   0.644      0.864    0.977       0.975      0.978     0.994      0.993     0.994
     nh2f          0.510   0.677      0.908    0.973       0.978      0.973      0.994     0.994     0.994
      ccl4         0.746   0.786      0.969    0.989       0.989      0.977      0.992     0.991     0.994
     TiCl4         0.749   0.787      0.960    0.988       0.989      0.920      0.987     0.990     0.994
      sih4         0.664   0.709      0.936    0.981       0.985      0.971      0.993     0.993     0.994
      alf          0.712   0.800      0.908    0.987       0.993      0.979      0.994     0.993     0.994
      hocl         0.653   0.761      0.943    0.982       0.988      0.973      0.994     0.994     0.994
     hcno          0.529   0.678      0.895    0.975       0.976      0.980      0.994     0.994     0.994
     hnco          0.532   0.682      0.897    0.978       0.979      0.979      0.994     0.994     0.994
  hocn     0.527   0.700      0.889    0.975       0.975      0.968      0.994     0.994     0.995
 hoclo     0.630   0.741      0.935    0.972       0.979      0.977     0.995      0.995     0.995
  fccf     0.560   0.723      0.926    0.984       0.982      0.988      0.995     0.995     0.995
  so2      0.638   0.741      0.928    0.978       0.981      0.981     0.995      0.995     0.995
  hooh     0.497   0.666      0.895    0.969       0.976      0.981      0.995     0.995     0.995
  ccl2     0.722   0.795      0.952    0.987       0.992      0.985      0.994     0.994     0.995
  sih3f    0.645   0.728      0.940    0.981       0.984      0.982      0.994     0.994     0.995
  hcof     0.552   0.718      0.918    0.979       0.979      0.985      0.996     0.995     0.996
  c2f4     0.582   0.757      0.941    0.984       0.983      0.985      0.995     0.995     0.996
  c2f6     0.558   0.684      0.948    0.984       0.982      0.980      0.995     0.995     0.996
  ph3      0.672   0.736      0.935    0.979       0.982      0.983      0.996     0.996     0.996
 t-hono    0.527   0.622      0.894    0.974       0.978      0.973      0.996     0.996     0.996
  hno      0.527   0.661      0.878    0.975       0.977      0.987      0.996     0.996     0.996
 hoclo2    0.617   0.728      0.933    0.970       0.976      0.979     0.997      0.996     0.996
  chf3     0.562   0.738      0.944    0.982       0.981      0.985      0.996     0.996     0.997
  bhf2     0.565   0.725      0.930    0.984       0.983      0.988      0.996     0.996     0.997
 c-hono    0.524   0.619      0.895    0.975       0.979      0.980     0.997      0.997     0.997
   hf      0.538   0.739      0.937    0.983       0.982      0.991     0.997      0.997     0.997
  n2o4     0.520   0.638      0.907    0.974       0.977      0.980      0.996     0.996     0.997
   co      0.564   0.678      0.863    0.982       0.987      0.983     0.997      0.997     0.997
Ni(PF3)4   0.620   0.715      0.946    0.978       0.982      0.982      0.997    0.997      0.996
  n2o      0.522   0.688      0.895    0.977       0.978      0.980      0.997     0.997     0.997
  hof      0.519   0.701      0.915    0.974       0.983      0.985      0.998     0.998     0.998
  alcl     0.776   0.825      0.939    0.992       0.995      0.988      0.997     0.997     0.998
  h2s      0.698   0.769      0.949    0.983       0.985      0.989      0.998     0.998     0.998
   p4      0.783   0.803      0.940    0.983       0.988      0.989      0.997     0.997     0.998
  f2co     0.550   0.721      0.936    0.983       0.982      0.991      0.998     0.998     0.998
  co2      0.554   0.751      0.907    0.981       0.982      0.990      0.998     0.998     0.998
 hclo4     0.615   0.721      0.933    0.970       0.976      0.984     0.998      0.998     0.998
 CrF6      0.628   0.724      0.928    0.971       0.981      0.986     0.998      0.998     0.995
  cf4      0.598   0.681      0.952    0.985       0.983      0.991      0.998     0.998     0.998
  so3      0.618   0.706      0.933    0.978       0.982      0.991     0.998      0.998     0.998
   bf      0.589   0.718      0.871    0.982       0.989      0.987     0.998      0.998     0.998
   clf     0.671   0.779      0.957    0.984       0.993      0.990      0.998     0.998     0.998
  pf3      0.614   0.733      0.948    0.983       0.987      0.987     0.998      0.998     0.998
  alh3     0.708   0.680      0.911    0.986       0.987      0.987      0.998     0.998     0.998
  alf3     0.656   0.799      0.944    0.990       0.988      0.992     0.999      0.998     0.998
   bh      0.615   0.550      0.709    0.944       0.975      0.981     0.999      0.998     0.998
  bf3      0.583   0.760      0.944    0.988       0.986      0.993      0.999     0.999     0.999
   n2      0.592   0.624      0.862    0.983       0.987      0.992     0.999      0.999     0.999
  ScF3     0.626   0.703      0.939    0.989       0.987      0.995     0.999      0.999     0.998
  alh      0.785   0.736      0.875    0.855       0.993      0.974      0.999     0.999     0.999
MnO3F      0.650   0.699      0.897    0.953       0.985      0.956      0.998     0.998     0.999
CrO2F2     0.646   0.739      0.910    0.964       0.984      0.991      0.999    0.999      0.997
  cf2      0.568   0.729      0.921    0.982       0.986      0.993     0.999      0.999     0.999
  hcl      0.721   0.799      0.971    0.991       0.990      0.995     0.999      0.999     0.999
 VOF3      0.629   0.731      0.923    0.975       0.981      0.970      0.999     0.999     0.999
  fno      0.569   0.679      0.909    0.979       0.983      0.994     0.999      0.999     0.999
  sif4     0.617   0.714      0.955    0.988       0.987      0.995     0.999      0.999     0.999
   p2      0.772   0.789      0.928    0.993       0.995      0.994      0.999     0.999     0.999
  VF5      0.622   0.731      0.935    0.979       0.983      0.966      0.999     0.999     1.000
  pf5      0.594   0.729      0.960    0.987       0.987      0.994      0.999     0.999     1.000
  sf6      0.609   0.745      0.961    0.985       0.986      0.993      0.999     0.999     1.000
  TiF4     0.620   0.714      0.935    0.984       0.985      0.987      1.000    1.000      0.999
       alcl3             0.763      0.830       0.973       0.995         0.994        0.996       1.000        1.000         1.000
        cl2              0.739      0.805       0.971       0.990         0.995        0.997       1.000        1.000         1.000
            f2           0.547      0.714       0.936       0.978         0.991        0.997       1.000        1.000         1.000
        h2               0.557      0.976       0.851       0.945         0.945        0.976       1.000        1.000         1.000
       Best                 0           0           0           20            45           1           28           18            110

