 Table S3: Neutral singlet molecules, revTPSSh/STO-3G: fraction f of electron density covered.

  Molecule          GWH         CORE        SAD     SADNO       HUCKEL           GSZ         LDA-X       CAP-X    CHA-X
    formic        0.784   0.797      0.888    0.974       0.931      0.982      0.994     0.994     0.995
   TiCl3Me        0.819   0.802      0.945    0.989       0.926      0.840      0.993     0.994     0.995
     nh2f         0.806   0.824      0.899    0.976       0.969      0.983      0.995     0.994     0.995
Fe(CO)2(NO)2      0.716   0.748      0.879    0.951       0.914      0.938      0.993    0.995      0.994
   propene        0.635   0.669      0.859    0.995       0.681      0.946      0.977     0.976     0.979
     ch2f2        0.850   0.865      0.919    0.980       0.931      0.984      0.995     0.994     0.995
     nccn         0.707   0.682      0.851    0.985       0.814      0.987      0.994     0.994     0.995
     ch4          0.619   0.729      0.862    0.995       0.717      0.941      0.977     0.977     0.977
   Cr(NO)4        0.715   0.734      0.881    0.962       0.883      0.942     0.995      0.995     0.992
Co(CO)3(NO)       0.716   0.749      0.880    0.968       0.913      0.950      0.994    0.995      0.994
    hoclo2        0.878   0.867      0.925    0.964       0.973      0.985     0.995      0.995     0.995
     honc         0.776   0.808      0.863    0.980       0.909      0.907      0.995     0.994     0.995
    allene        0.642   0.658      0.855    0.996       0.640      0.975      0.985     0.984     0.986
     b2h6         0.564   0.608      0.834    0.996       0.544      0.935      0.979     0.979     0.981
     sih4         0.754   0.774      0.905    0.992       0.776      0.988      0.995     0.995     0.996
     hnc          0.792   0.758      0.843    0.992       0.877      0.979     0.996      0.995     0.996
   Ni(CO)4        0.717   0.753      0.882    0.962       0.915      0.964     0.996      0.995     0.993
    PR03          0.716   0.753      0.882    0.962       0.915      0.965     0.996      0.995     0.994
   benzene        0.652   0.706      0.862    0.996       0.604      0.968      0.983     0.983     0.985
t-butadiene   0.643   0.663      0.857    0.996       0.654      0.951      0.979     0.979     0.981
    hf        0.915   0.929      0.933    0.978       0.969      0.994     0.996      0.996     0.996
Mn(NO)3CO     0.715   0.724      0.881    0.932       0.897      0.929      0.994    0.996      0.995
 propyne      0.647   0.669      0.855    0.996       0.630      0.955      0.983     0.982     0.985
   c2h4       0.637   0.749      0.855    0.996       0.670      0.967      0.984     0.983     0.985
   fccf       0.825   0.841      0.908    0.983       0.838      0.996      0.996     0.996     0.996
   ScF3       0.920   0.938      0.932    0.976       0.962      0.992     0.996      0.996     0.996
   sih3f      0.834   0.839      0.922    0.986       0.882      0.994      0.996     0.996     0.996
   hocn       0.770   0.753      0.873    0.977       0.891      0.976      0.996     0.996     0.997
   clno       0.883   0.884      0.921    0.981       0.983      0.927      0.993     0.992     0.997
   bh3        0.608   0.773      0.801    0.997       0.586      0.978      0.991     0.991     0.992
   hnco       0.749   0.747      0.881    0.980       0.919      0.990      0.996     0.996     0.997
   c2f4       0.792   0.820      0.926    0.980       0.924      0.991      0.996     0.996     0.997
  t-hono      0.799   0.755      0.881    0.972       0.968      0.980      0.997     0.996     0.997
   ph3        0.820   0.831      0.913    0.981       0.932      0.996      0.996     0.997     0.997
   hcno       0.771   0.795      0.879    0.977       0.885      0.990      0.997     0.996     0.997
   c2f6       0.828   0.816      0.934    0.979       0.960      0.985      0.995     0.995     0.997
   hcof       0.830   0.821      0.904    0.976       0.939      0.994      0.997     0.997     0.997
   hcn        0.732   0.751      0.847    0.986       0.811      0.991      0.997     0.997     0.997
    hof       0.842   0.871      0.905    0.970       0.977      0.990      0.997     0.997     0.997
  VOCl3       0.824   0.799      0.943    0.979       0.952      0.933      0.997     0.997     0.997
   hno        0.790   0.786      0.867    0.975       0.958      0.996      0.997     0.997     0.998
   chf3       0.898   0.889      0.931    0.979       0.962      0.992      0.997     0.997     0.998
 CrO2F2       0.821   0.806      0.901    0.957       0.917     0.998       0.994     0.994     0.991
  c-hono      0.798   0.751      0.881    0.972       0.969      0.988      0.998     0.997     0.998
  hclo4       0.886   0.855      0.925    0.962       0.972      0.992      0.998    0.998      0.997
   alf3       0.939   0.949      0.935    0.982       0.959      0.995     0.998      0.998     0.997
  so3      0.853   0.860      0.922    0.973       0.972      0.997     0.998      0.998     0.997
   p4      0.989   0.887      0.920    0.982       0.842      0.995      0.998     0.997     0.998
  c2h2     0.589   0.806      0.845    0.998       0.614      0.990      0.993     0.993     0.993
  h2s      0.886   0.894      0.936    0.982       0.976     0.998       0.997     0.998     0.998
   clf     0.923   0.939      0.953    0.981       0.993      0.992      0.998     0.998     0.998
 VOF3      0.826   0.818      0.914    0.968       0.929      0.996     0.998      0.998     0.997
  bhf2     0.875   0.873      0.917    0.981       0.923      0.997      0.998     0.998     0.998
  alcl     0.944   0.937      0.932    0.989       0.979      0.995      0.998     0.998     0.999
  n2o4     0.781   0.777      0.891    0.969       0.964      0.989      0.998     0.998     0.999
  pf3      0.906   0.883      0.940    0.980       0.976      0.994     0.999      0.999     0.999
  f2co     0.834   0.817      0.921    0.977       0.951      0.998      0.999     0.999     0.999
  cf4      0.894   0.843      0.939    0.979       0.966      0.996      0.998     0.998     0.999
   bh      0.821   0.596      0.697    0.666       0.713      0.998      0.999    0.999      0.999
  TiF4     0.818   0.807      0.930    0.977       0.947      0.999     0.999      0.999     0.998
  n2o      0.768   0.749      0.881    0.977       0.973      0.991      0.999     0.999     0.999
  alh3     0.766   0.788      0.880    0.995       0.816      0.997      0.999     0.999     0.999
Ni(PF3)4   0.882   0.850      0.938    0.971       0.963      0.983      0.999    0.999      0.997
  VF5      0.838   0.836      0.926    0.972       0.947      0.994     0.999      0.999     0.998
  hcl      0.951   0.955      0.968    0.992       0.989     0.999       0.999     0.999     0.999
   co      0.856   0.795      0.852    0.985       0.925      0.993     1.000      0.999     0.999
  alh      0.887   0.899      0.861    0.860       0.898      0.986     1.000      0.999     0.999
 CrF6      0.803   0.790      0.919    0.964       0.946     1.000       0.991     0.991     0.988
  bf3      0.913   0.932      0.932    0.980       0.955      0.999      0.999     1.000     1.000
   p2      0.927   0.882      0.912    0.992       0.865      0.999      1.000     1.000     1.000
  cf2      0.912   0.879      0.909    0.977       0.965      0.999      1.000     1.000     1.000
  fno      0.857   0.827      0.896    0.975       0.974      0.999     1.000      1.000     1.000
   bf      0.914   0.840      0.864    0.980       0.952      0.995     1.000      1.000     1.000
      TiCl4              0.849       0.819       0.960       0.989         0.968       0.986       0.999        1.000         1.000
        co2              0.728       0.821       0.891       0.976         0.931       0.999       1.000        1.000         1.000
        sif4             0.904       0.869       0.945       0.982         0.970       0.999       1.000        1.000         1.000
        pf5              0.879       0.886       0.949       0.982         0.975       0.999       1.000        1.000         1.000
        sf6              0.905       0.907       0.951       0.980         0.979       0.998       1.000        1.000         1.000
       alcl3             0.904       0.892       0.965       0.993         0.979       0.999       1.000        1.000         1.000
        cl2              0.941       0.963       0.968       0.987         0.994       1.000       1.000        1.000         1.000
            f2           0.889       0.946       0.926       0.973         0.996       1.000       1.000        1.000         1.000
           n2            0.792       0.745       0.851       0.992         0.855       1.000       1.000        1.000         1.000
           h2            1.000       1.000       0.829       1.000         1.000       1.000       1.000        1.000         1.000
       Best                  1           1           0           75            1           6           30           17            98

