Table S9: Neutral singlet molecules, HF/pcseg-1: fraction f of electron density covered.

 Molecule             GWH         CORE        SAD     SADNO        HUCKEL           GSZ         LDA-X         CAP-X      CHA-X
  ch3ph2       0.670   0.681      0.914    0.968       0.973      0.914      0.974     0.973     0.976
Cr(C6H6)2      0.581   0.569      0.895    0.976       0.964      0.873      0.957     0.960     0.962
   PCy3        0.500   0.502      0.894    0.971       0.976      0.739      0.949     0.950     0.947
   ED31        0.531   0.539      0.896    0.974       0.976      0.781      0.955     0.953     0.934
CoH(CO)4       0.593   0.582      0.894    0.963       0.959      0.932      0.975    0.976      0.976
  MnO3F        0.564   0.620      0.895    0.947       0.941      0.941      0.976     0.976     0.976
  benzene      0.518   0.630      0.885    0.973       0.976      0.935      0.965     0.964     0.967
 Sc(acac)3     0.545   0.571      0.902    0.972       0.976      0.826      0.969     0.973     0.958
   ED30        0.566   0.570      0.898    0.974       0.977      0.790      0.964     0.967     0.957
 methanol      0.536   0.649      0.888    0.961       0.967      0.939      0.976     0.975     0.977
   c2h2        0.515   0.612      0.866    0.972       0.970      0.958     0.978      0.977     0.978
 dithiotane    0.721   0.739      0.927    0.973       0.978      0.915      0.969     0.967     0.972
    nh3        0.459   0.667      0.872    0.958       0.967      0.938     0.978      0.977     0.978
 thiophene     0.654   0.680      0.910    0.976       0.978      0.881      0.953     0.952     0.956
   PhSH        0.623   0.684      0.906    0.976       0.979      0.853      0.907     0.907     0.910
   acetic      0.559   0.671      0.899    0.966       0.971      0.933      0.977     0.976     0.979
   CuCN        0.733   0.711      0.860    0.931       0.953     0.979       0.951     0.944     0.953
   AcCl        0.669   0.739      0.927    0.975       0.979      0.854      0.946     0.944     0.953
  c2h3f      0.577   0.666      0.904    0.972       0.975      0.937      0.978     0.977     0.979
 c2clh5      0.678   0.658      0.927    0.975       0.979      0.838      0.963     0.961     0.968
  ch2nh      0.545   0.635      0.869    0.965       0.968      0.950      0.979     0.978     0.979
   bh3       0.508   0.715      0.818    0.950       0.953      0.943      0.980     0.979     0.980
 ketene      0.562   0.667      0.890    0.968       0.971      0.945      0.979     0.978     0.980
dioxetane    0.577   0.650      0.893    0.962       0.968      0.948      0.978     0.977     0.980
  n2h4       0.497   0.638      0.877    0.962       0.970      0.944      0.979     0.978     0.980
 ED40b       0.677   0.657      0.929    0.976       0.980      0.858      0.976     0.976     0.977
  ED02       0.588   0.605      0.887    0.947       0.955      0.938      0.979    0.980      0.980
 c2clh3      0.689   0.685      0.928    0.979       0.981      0.859      0.944     0.941     0.949
  cclh3      0.710   0.691      0.939    0.978       0.981      0.924      0.979     0.978     0.981
  PR06       0.561   0.600      0.892    0.954       0.964      0.885      0.978     0.980     0.982
oxadiazole   0.584   0.658      0.886    0.972       0.976      0.952      0.981     0.979     0.982
Zn(CH3)2     0.653   0.651      0.887    0.947       0.965      0.956     0.982      0.981     0.981
  PR01       0.566   0.543      0.891    0.955       0.966      0.900      0.979    0.982      0.981
formamide    0.545   0.670      0.894    0.968       0.973      0.937      0.981     0.980     0.982
TiCl2Me2     0.626   0.653      0.936    0.979       0.982      0.828      0.913     0.928     0.945
   ocs       0.705   0.797      0.929    0.982       0.982      0.918      0.966     0.965     0.969
 oxirene     0.562   0.692      0.879    0.962       0.964      0.962      0.982     0.981     0.983
   clcn      0.706   0.770      0.932    0.983       0.980      0.938      0.979     0.978     0.981
 PhSeH       0.677   0.671      0.924    0.979       0.983      0.886      0.927     0.926     0.928
   ch3f      0.574   0.677      0.910    0.968       0.972      0.949      0.982     0.982     0.983
  CuMe       0.734   0.733      0.863    0.944       0.959      0.962      0.983     0.982     0.983
Cr(CO)6      0.567   0.543      0.891    0.955       0.965      0.904      0.981    0.983      0.983
  c2clh      0.702   0.742      0.932    0.983       0.981      0.880      0.965     0.963     0.968
   cs2       0.776   0.828      0.941    0.983       0.984      0.963      0.979     0.978     0.980
  clcof      0.685   0.762      0.946    0.985       0.984      0.926      0.977     0.976     0.981
     ch2clf        0.707   0.774      0.946    0.981       0.983      0.908      0.982     0.981     0.985
 dioxetan2one      0.582   0.665      0.904    0.969       0.972      0.923      0.982     0.982     0.985
      hccf         0.585   0.712      0.907    0.980       0.977      0.971      0.985     0.985     0.986
    glyoxal        0.581   0.714      0.890    0.908       0.974      0.957      0.984     0.983     0.986
     ccl2h2        0.777   0.807      0.956    0.984       0.986      0.943      0.983     0.982     0.985
     ccl2o         0.750   0.792      0.954    0.986       0.986      0.945      0.977     0.976     0.980
      clno         0.707   0.777      0.929    0.983       0.986      0.912      0.974     0.972     0.981
  trans-c2f2cl2    0.693   0.774      0.954    0.986       0.986      0.903      0.969     0.969     0.975
   cis-c2f2cl2     0.705   0.785      0.954    0.986       0.986      0.907      0.970     0.969     0.975
       cs          0.759   0.794      0.910    0.986       0.986      0.971      0.984     0.983     0.984
formic-anhydride   0.555   0.672      0.901    0.972       0.974      0.936      0.985     0.984     0.987
      h2co         0.583   0.666      0.882    0.968       0.971      0.962      0.986     0.986     0.987
   dioxirane       0.585   0.694      0.887    0.963       0.970      0.957      0.986     0.985     0.987
     ED01          0.564   0.608      0.889    0.950       0.963      0.922      0.985    0.987      0.986
 CrO2(NO3)2        0.560   0.617      0.903    0.964       0.976      0.906      0.986     0.986     0.987
   Ni(PH3)2        0.708   0.705      0.906    0.952       0.959      0.971      0.987    0.987      0.987
      nccn         0.534   0.741      0.872    0.978       0.976      0.969      0.986     0.986     0.987
     c2cl2         0.768   0.819      0.952    0.988       0.986      0.935      0.970     0.969     0.973
     hnnn          0.517   0.649      0.881    0.969       0.970      0.950      0.987     0.986     0.988
     nh2oh         0.543   0.672      0.885    0.965       0.971      0.959      0.987     0.987     0.988
      hnc          0.536   0.664      0.855    0.974       0.972      0.959     0.988      0.987     0.987
   TiCl3Me         0.670   0.689      0.952    0.985       0.988      0.814      0.954     0.958     0.968
   CrO2Cl2         0.648   0.677      0.933    0.973       0.987      0.885      0.977     0.978     0.988
     ccl3h         0.807   0.821      0.963    0.986       0.988      0.956      0.984     0.983     0.987
    Ni(CO)4        0.597   0.587      0.892    0.964       0.964      0.966      0.987    0.988      0.987
     PR03          0.598   0.587      0.892    0.964       0.964      0.966      0.987    0.988      0.987
     cf2cl2        0.707   0.782      0.961    0.986       0.987      0.938      0.985     0.984     0.988
   p4      0.829   0.811      0.936    0.981       0.986      0.977      0.986     0.985     0.988
 nh2cl     0.720   0.780      0.936    0.980       0.985      0.950      0.987     0.986     0.988
  c2cl4    0.755   0.798      0.963    0.988       0.988      0.943      0.973     0.972     0.976
  hcno     0.557   0.699      0.893    0.973       0.974      0.969      0.988     0.987     0.988
 formic    0.563   0.720      0.900    0.972       0.974      0.962      0.987     0.987     0.988
  c2cl6    0.753   0.790      0.966    0.987       0.988      0.937      0.972     0.972     0.978
  honc     0.564   0.710      0.877    0.970       0.969      0.883      0.987     0.986     0.988
  hcn      0.555   0.662      0.863    0.974       0.972      0.970     0.988      0.988     0.988
  hnco     0.572   0.679      0.897    0.976       0.977      0.970      0.988     0.987     0.988
  ccl4     0.788   0.817      0.967    0.987       0.988      0.967      0.985     0.984     0.988
 t-hcoh    0.569   0.676      0.864    0.966       0.966      0.961      0.988     0.988     0.988
 c-hcoh    0.569   0.674      0.864    0.966       0.971      0.965      0.988     0.988     0.989
 t-n2h2    0.526   0.594      0.865    0.969       0.967      0.967      0.988     0.988     0.989
 c-n2h2    0.522   0.591      0.865    0.970       0.974      0.969      0.989     0.988     0.989
  si2h6    0.736   0.727      0.931    0.970       0.973      0.972      0.987     0.987     0.989
  s2o      0.757   0.797      0.939    0.982       0.985      0.960      0.988     0.987     0.989
  h2o      0.535   0.717      0.893    0.967       0.972      0.962     0.989      0.989     0.989
  fccf     0.614   0.745      0.925    0.984       0.981      0.981      0.989     0.989     0.990
  hocn     0.562   0.738      0.889    0.972       0.972      0.959      0.989     0.988     0.990
   sio     0.741   0.807      0.896    0.985       0.990      0.967      0.987     0.987     0.987
  ccl2     0.796   0.835      0.951    0.988       0.990      0.975      0.987     0.987     0.989
ch2-sing   0.514   0.543      0.788    0.918       0.965      0.731     0.990      0.989     0.990
 ch2f2     0.630   0.717      0.929    0.976       0.977      0.968      0.989     0.989     0.990
  sih4     0.713   0.762      0.924    0.964       0.967      0.973      0.989     0.989     0.991
  c2f4     0.637   0.785      0.939    0.983       0.983      0.977      0.989     0.989     0.991
 ED03      0.617   0.608      0.885    0.941       0.963      0.974      0.990    0.991      0.990
 VOCl3     0.673   0.698      0.950    0.983       0.991      0.894      0.963     0.967     0.975
  n2o4     0.539   0.672      0.906    0.974       0.977      0.967      0.990     0.989     0.991
  hcof     0.590   0.731      0.916    0.978       0.977      0.977      0.991     0.991     0.992
  c2f6     0.599   0.704      0.947    0.983       0.983      0.971      0.990     0.989     0.992
 TiCl4     0.700   0.716      0.965    0.991       0.992      0.916      0.980     0.983     0.988
  nh2f     0.579   0.701      0.906    0.971       0.977      0.965      0.992     0.991     0.992
 t-hono    0.568   0.644      0.892    0.973       0.976      0.963      0.992     0.991     0.992
 hoclo     0.671   0.773      0.932    0.974       0.981      0.970      0.993     0.992     0.993
  hocl     0.722   0.802      0.941    0.981       0.988      0.966      0.993     0.992     0.993
  n2o      0.548   0.710      0.895    0.976       0.976      0.974      0.993     0.992     0.993
 c-hono    0.561   0.642      0.893    0.974       0.978      0.970      0.993     0.992     0.993
  co2      0.551   0.756      0.907    0.981       0.980      0.983      0.993     0.993     0.993
  ph3      0.744   0.778      0.929    0.970       0.974      0.974      0.993     0.993     0.993
  chf3     0.627   0.770      0.941    0.981       0.981      0.978      0.993     0.992     0.993
 hoclo2    0.601   0.693      0.929    0.971       0.977      0.970      0.993     0.993     0.994
  hooh     0.540   0.692      0.892    0.968       0.976      0.974      0.994     0.993     0.994
  f2co     0.587   0.713      0.935    0.983       0.982      0.984      0.993     0.993     0.994
  sih3f    0.706   0.750      0.935    0.973       0.976      0.983      0.993     0.993     0.994
  hno      0.578   0.684      0.876    0.974       0.976      0.979     0.994      0.994     0.994
   alf     0.770   0.828      0.909    0.986       0.990      0.978      0.994     0.993     0.994
  bhf2     0.640   0.754      0.929    0.984       0.981      0.984      0.994     0.994     0.994
 hclo4     0.562   0.636      0.930    0.970       0.976      0.974      0.994     0.993     0.994
  so2      0.693   0.762      0.925    0.976       0.980      0.980     0.995      0.994     0.994
  cf4      0.641   0.708      0.950    0.985       0.984      0.984      0.994     0.994     0.995
   co      0.597   0.698      0.863    0.979       0.982      0.980     0.995      0.994     0.995
 CrF6      0.549   0.645      0.932    0.977       0.985      0.972      0.995    0.995      0.994
   p2      0.824   0.814      0.928    0.990       0.993      0.990      0.995     0.994     0.995
   n2      0.566   0.638      0.862    0.981       0.985      0.985     0.995      0.995     0.995
Ni(PF3)4   0.562   0.612      0.947    0.980       0.983      0.976      0.995    0.995      0.993
  fno      0.588   0.707      0.908    0.979       0.983      0.986      0.996     0.995     0.996
  alh3     0.757   0.767      0.903    0.975       0.974      0.986      0.996     0.996     0.996
  bf3      0.657   0.798      0.944    0.989       0.986      0.989      0.996     0.996     0.996
  h2s      0.782   0.815      0.946    0.980       0.981      0.981     0.996      0.996     0.996
  so3      0.620   0.722      0.931    0.977       0.981      0.987      0.996     0.996     0.996
  hof      0.579   0.733      0.914    0.974       0.983      0.978     0.996      0.996     0.996
  alcl     0.846   0.846      0.938    0.990       0.991      0.986      0.996     0.996     0.996
  cf2      0.637   0.759      0.919    0.982       0.984      0.989      0.996     0.996     0.997
  pf3      0.710   0.758      0.946    0.983       0.988      0.983      0.996     0.996     0.997
  alcl3    0.847   0.866      0.972    0.994       0.993      0.992      0.996     0.996     0.997
 VOF3      0.530   0.583      0.927    0.980       0.988      0.959      0.995     0.996     0.997
  sf6      0.590   0.688      0.958    0.985       0.987      0.986      0.996     0.996     0.997
   bf      0.646   0.731      0.872    0.980       0.982      0.985     0.997      0.996     0.997
CrO2F2     0.545   0.595      0.913    0.969       0.983      0.982      0.997    0.997      0.996
   bh      0.609   0.568      0.706    0.951       0.971      0.978     0.997      0.997     0.997
  pf5      0.625   0.741      0.958    0.987       0.989      0.989      0.997     0.997     0.997
   hf      0.609   0.770      0.937    0.985       0.984      0.987     0.997      0.997     0.997
  VF5      0.528   0.611      0.939    0.985       0.988      0.954      0.996     0.997     0.998
  sif4     0.691   0.737      0.954    0.989       0.989      0.992      0.998     0.998     0.998
  alh      0.830   0.851      0.872    0.972       0.987      0.973      0.998     0.998     0.998
   clf     0.740   0.820      0.956    0.984       0.993      0.988      0.998     0.998     0.998
  ScF3     0.643   0.671      0.945    0.995       0.992      0.991     0.998      0.998     0.998
  TiF4     0.527   0.570      0.942    0.991       0.990      0.977      0.997     0.998     0.998
  alf3     0.710   0.835      0.945    0.993       0.989      0.992     0.998      0.998     0.998
  cl2      0.811   0.848      0.969    0.990       0.994      0.994      0.999     0.999     0.999
  hcl      0.813   0.852      0.969    0.990       0.990      0.990     0.999      0.999     0.999
        f2          0.606      0.783       0.935       0.978         0.991        0.995       0.999            0.999           0.999
        h2         -0.000      0.969       0.840       0.929         0.929        0.969       0.999            0.999           0.999
      Best             0           0           0           18            57           1           23            22             101

