 Table S11: Neutral singlet molecules, revTPSSh/pcseg-1: fraction f of electron density covered.

 Molecule           GWH         CORE        SAD     SADNO        HUCKEL            GSZ          LDA-X        CAP-X         CHA-X
  hof      0.580   0.735   0.913    0.972       0.981     0.980    0.997     0.997     0.997
   hf      0.609   0.769   0.937    0.984       0.983     0.987   0.997      0.997     0.997
  alcl     0.847   0.846   0.938    0.989       0.991     0.987    0.997     0.996     0.997
  alh3     0.759   0.768   0.903     0.975       0.975     0.987   0.997   0.997   0.997
  so3      0.627   0.731   0.930     0.976       0.980     0.988   0.997   0.997    0.997
  bf3      0.658   0.795   0.944     0.989       0.986     0.990   0.997   0.997   0.997
   bf      0.644   0.730   0.871     0.978       0.984     0.985   0.997   0.997    0.997
  pf3      0.714   0.759   0.946     0.982       0.986     0.984   0.997   0.997   0.998
  alcl3    0.850   0.866   0.972     0.994       0.993     0.993   0.997   0.997   0.998
 CrF6      0.561   0.656   0.929     0.972       0.986     0.985   0.998   0.997    0.994
   clf     0.742   0.822   0.956     0.984       0.992     0.988   0.998   0.998   0.998
   bh      0.613   0.571   0.704     0.646       0.968     0.981   0.998   0.998    0.998
  sf6      0.598   0.691   0.958     0.984       0.985     0.988   0.997   0.997   0.998
  cf2      0.636   0.757   0.919     0.980       0.984     0.990   0.998   0.998   0.998
  alf3     0.712   0.832   0.945     0.992       0.989     0.991   0.998   0.998    0.998
  fno      0.589   0.710   0.907     0.976       0.981     0.990   0.998   0.998    0.998
  ScF3     0.649   0.675   0.942     0.990       0.989     0.992   0.998   0.998    0.998
  pf5      0.632   0.743   0.958     0.986       0.987     0.991   0.998   0.998   0.998
  sif4     0.695   0.737   0.954     0.988       0.988     0.992   0.998   0.998   0.999
MnO3F      0.567   0.614   0.898     0.954       0.957     0.954   0.997   0.998   0.999
  alh      0.832   0.853   0.872     0.982       0.986     0.974   0.999   0.998    0.999
 VOF3      0.537   0.590   0.924     0.975       0.986     0.968   0.998   0.999   0.999
CrO2F2     0.551   0.602   0.911     0.965       0.983     0.988   0.999   0.999    0.997
  hcl      0.815   0.854   0.969     0.990       0.989     0.990   0.999   0.999    0.999
  VF5      0.536   0.618   0.935     0.980       0.986     0.964   0.999   0.999   0.999
  cl2      0.813   0.850   0.969     0.989       0.994     0.994   0.999   0.999   0.999
  TiF4     0.535   0.577   0.938     0.986       0.987     0.984   0.999   0.999    0.999
   h2      0.000   0.971   0.836     0.924       0.924     0.971   1.000   0.999    0.999
   f2      0.607   0.786   0.934     0.976       0.990     0.995   1.000   1.000    1.000
  Best      0       0        0        16          46         1      30      18      111

